"Date de début";"Date de fin";"Organisme";"code zas";"Zas";"code site";"nom site";"type d'implantation";"Polluant";"type d'influence";"discriminant";"Réglementaire";"type d'évaluation";"procédure de mesure";"type de valeur";"valeur";"valeur brute";"unité de mesure";"taux de saisie";"couverture temporelle";"couverture de données";"code qualité";"validité"
"2026/03/30 04:00:00";"2026/03/30 05:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01011";"Metz-Centre";"Urbaine";"NOX as NO2";"Fond";"1";"Oui";"mesures fixes";"Auto NO2_NOx Conf meth CHIMILU";"moyenne horaire brute";"4.5";"4.525";"µg-m3";;;;"A";"1"
"2026/03/30 05:00:00";"2026/03/30 06:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01011";"Metz-Centre";"Urbaine";"NOX as NO2";"Fond";"1";"Oui";"mesures fixes";"Auto NO2_NOx Conf meth CHIMILU";"moyenne horaire brute";"7.5";"7.525";"µg-m3";;;;"A";"1"
"2026/03/30 06:00:00";"2026/03/30 07:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01011";"Metz-Centre";"Urbaine";"NOX as NO2";"Fond";"1";"Oui";"mesures fixes";"Auto NO2_NOx Conf meth CHIMILU";"moyenne horaire brute";"7.6";"7.6";"µg-m3";;;;"A";"1"
"2026/03/30 07:00:00";"2026/03/30 08:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01011";"Metz-Centre";"Urbaine";"NOX as NO2";"Fond";"1";"Oui";"mesures fixes";"Auto NO2_NOx Conf meth CHIMILU";"moyenne horaire brute";"6";"5.975";"µg-m3";;;;"A";"1"
"2026/03/30 00:00:00";"2026/03/30 01:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01011";"Metz-Centre";"Urbaine";"PM10";"Fond";"K";"Oui";"mesures fixes";"Auto PM_Conf_app TEOM 1405-F";"moyenne horaire brute";"8.3";"8.275";"µg-m3";;;;"A";"1"
"2026/03/30 01:00:00";"2026/03/30 02:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01011";"Metz-Centre";"Urbaine";"PM10";"Fond";"K";"Oui";"mesures fixes";"Auto PM_Conf_app TEOM 1405-F";"moyenne horaire brute";"11.6";"11.575";"µg-m3";;;;"A";"1"
"2026/03/30 02:00:00";"2026/03/30 03:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01011";"Metz-Centre";"Urbaine";"PM10";"Fond";"K";"Oui";"mesures fixes";"Auto PM_Conf_app TEOM 1405-F";"moyenne horaire brute";"5.8";"5.775";"µg-m3";;;;"A";"1"
"2026/03/30 03:00:00";"2026/03/30 04:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01011";"Metz-Centre";"Urbaine";"PM10";"Fond";"K";"Oui";"mesures fixes";"Auto PM_Conf_app TEOM 1405-F";"moyenne horaire brute";"3.3";"3.275";"µg-m3";;;;"A";"1"
"2026/03/30 04:00:00";"2026/03/30 05:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01011";"Metz-Centre";"Urbaine";"PM10";"Fond";"K";"Oui";"mesures fixes";"Auto PM_Conf_app TEOM 1405-F";"moyenne horaire brute";"4.8";"4.8";"µg-m3";;;;"A";"1"
"2026/03/30 05:00:00";"2026/03/30 06:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01011";"Metz-Centre";"Urbaine";"PM10";"Fond";"K";"Oui";"mesures fixes";"Auto PM_Conf_app TEOM 1405-F";"moyenne horaire brute";"8.7";"8.65";"µg-m3";;;;"A";"1"
"2026/03/30 06:00:00";"2026/03/30 07:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01011";"Metz-Centre";"Urbaine";"PM10";"Fond";"K";"Oui";"mesures fixes";"Auto PM_Conf_app TEOM 1405-F";"moyenne horaire brute";"10.6";"10.575";"µg-m3";;;;"A";"1"
"2026/03/30 07:00:00";"2026/03/30 08:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01011";"Metz-Centre";"Urbaine";"PM10";"Fond";"K";"Oui";"mesures fixes";"Auto PM_Conf_app TEOM 1405-F";"moyenne horaire brute";"5.9";"5.875";"µg-m3";;;;"A";"1"
"2026/03/30 00:00:00";"2026/03/30 01:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01011";"Metz-Centre";"Urbaine";"PM2.5";"Fond";"3";"Oui";"mesures fixes";"Auto PM_Conf_app TEOM 1405-F";"moyenne horaire brute";"4.7";"4.725";"µg-m3";;;;"A";"1"
"2026/03/30 01:00:00";"2026/03/30 02:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01011";"Metz-Centre";"Urbaine";"PM2.5";"Fond";"3";"Oui";"mesures fixes";"Auto PM_Conf_app TEOM 1405-F";"moyenne horaire brute";"4";"4.025";"µg-m3";;;;"A";"1"
"2026/03/30 02:00:00";"2026/03/30 03:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01011";"Metz-Centre";"Urbaine";"PM2.5";"Fond";"3";"Oui";"mesures fixes";"Auto PM_Conf_app TEOM 1405-F";"moyenne horaire brute";"5.7";"5.65";"µg-m3";;;;"A";"1"
"2026/03/30 03:00:00";"2026/03/30 04:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01011";"Metz-Centre";"Urbaine";"PM2.5";"Fond";"3";"Oui";"mesures fixes";"Auto PM_Conf_app TEOM 1405-F";"moyenne horaire brute";"4.7";"4.7";"µg-m3";;;;"A";"1"
"2026/03/30 04:00:00";"2026/03/30 05:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01011";"Metz-Centre";"Urbaine";"PM2.5";"Fond";"3";"Oui";"mesures fixes";"Auto PM_Conf_app TEOM 1405-F";"moyenne horaire brute";"-1";"-1.025";"µg-m3";;;;"A";"1"
"2026/03/30 05:00:00";"2026/03/30 06:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01011";"Metz-Centre";"Urbaine";"PM2.5";"Fond";"3";"Oui";"mesures fixes";"Auto PM_Conf_app TEOM 1405-F";"moyenne horaire brute";"0.1";"0.075";"µg-m3";;;;"A";"1"
"2026/03/30 06:00:00";"2026/03/30 07:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01011";"Metz-Centre";"Urbaine";"PM2.5";"Fond";"3";"Oui";"mesures fixes";"Auto PM_Conf_app TEOM 1405-F";"moyenne horaire brute";"1.6";"1.55";"µg-m3";;;;"A";"1"
