code_site,nom_station_officiel,latitude_pollution,longitude_pollution,station_meteo,distance_km
FR23069,SAVENAY,47.36021,-1.953593,ST NAZAIRE-MONTOIR,15.99
FR04123,RN2-PANTIN,48.90222,2.390833,LE BOURGET,7.72
FR04105,BAGNOLET,48.8728,2.4219,PARIS-MONTSOURIS,8.38
FR38012,Station Bonsenf,-21.342915,55.471928,GILLOT-AEROPORT,50.47
FR01059,HAYANGE-MARSPICH,49.3374,6.08207,AEROPORT METZ-NANCY-LORRAINE,41.5
FR02013,Fos Les Carabins,43.458927,4.934572,ISTRES,7.11
FR34065,Montargis Fond,47.996994,2.731511,AUXERRE-PERRIGNY,63.92
FR01018,Scy-Chazelles,49.107502,6.122775,AEROPORT METZ-NANCY-LORRAINE,16.74
FR82011,Montbéliard Coteau J,47.50114,6.786083,DORANS,10.77
FR37038,SXM Marigot,18.070114,-63.081482,ST-BARTHELEMY METEO,30.65
FR20029,FEYZIN STADE,45.6639,4.8459,LYON-BRON,10.25
FR02036,Martigues Pati,43.398804,5.072803,MARIGNANE,11.98
FR23188,CIM BOUTEILLERIE,47.222187,-1.537432,NANTES-BOUGUENAIS,9.67
FR12016,Saint Gaudens Daurat,43.106155,0.71955,ST GIRONS,33.4
FR21501,Mondeville Calmette,49.178303,-0.31905,CAEN-CARPIQUET,9.97
FR33114,St Julien trafic,45.25199,6.397194,VILLAR ST PANCRACE,45.52
FR02037,Port de Bouc EDF,43.413944,4.985996,ISTRES,12.98
FR07045,Issoire Ecole Centre,45.54542,3.248247,CLERMONT-FD,27.92
FR36003,Valence Trafic,44.94894,4.88975,MONTELIMAR,42.73
FR06133,Cartignies,50.09225,3.85003,ST QUENTIN,55.23
FR04018,AUBERVILLIERS,48.9039,2.3847,LE BOURGET,7.72
FR09033,Rivedoux plage,46.157883,-1.267922,LA ROCHELLE-ILE DE RE,6.18
FR25051,Dieppe prox-auto,49.918007,1.073972,DIEPPE,2.01
FR05079,Montivilliers,49.545414,0.185369,OCTEVILLE,6.9
FR16302,Donon Vosges Moyennes 2,48.492992,7.1298,STRASBOURG-ENTZHEIM,38.12
FR04184,BAGNEAUX-SUR-LOING,48.231476,2.7061777,MELUN,42.17
FR02011,Fos sur Mer,43.43786,4.945116,ISTRES,9.54
FR34026,Tours péri-urbaine,47.46925,0.717333,TOURS,2.85
FR19052,Quimper Pommiers,47.99612,-4.09972,QUIMPER,5.21
FR09103,Square Pablo Casals,45.647427,0.167162,COGNAC,37.59
FR31002,TALENCE,44.80046,-0.589398,BORDEAUX-MERIGNAC,8.71
FR04008,CACHAN,48.799442,2.330556,PARIS-MONTSOURIS,2.53
FR25043,Centre Hospitalier,49.4005,1.099042,ROUEN-BOOS,5.87
FR14010,BETHENY,49.28222,4.051111,REIMS-PRUNAY,11.05
FR08025,Haut-Languedoc,43.5944,2.80296,BEZIERS-VIAS,53.72
FR03086,APT,43.88012,5.362038,CARPENTRAS,33.21
FR30036,Nancy-Libération,48.69708,6.154194,NANCY-ESSEY,5.05
FR06006,Valenciennes Wallon,50.36425,3.52273,LILLE-LESQUIN,37.81
FR04150,LA DEFENSE,48.891388,2.240556,PARIS-MONTSOURIS,10.52
FR43001,Kawéni Village,-12.772944,45.223206,PAMANDZI,7.41
FR33213,ANNEMASSE TRAFIC,46.19081,6.235536,MEYTHET,31.18
FR38017,Grand Coude,-21.29433,55.62793,GILLOT-AEROPORT,45.89
FR33120,CHAMONIX,45.9225,6.87,BOURG ST MAURICE,35.43
FR07012,Le Puy Centre,45.045002,3.883001,LE PUY-LOUDES,9.91
