datetime,code_site,nom_site,NO2,O3,PM10,PM25,temperature,humidity,wind_speed,pressure,impact_index,impact_level
2026-03-26 00:00:00,FR04098,LOGNES,11.0,66.9,3.3,5.2,282.15,74.31,5.92,99849.27,14.02,faible
2026-03-26 00:00:00,FR04099,NOGENT-SUR-MARNE,7.5,71.4,8.1,5.2,282.15,74.31,5.92,99849.27,14.36,faible
2026-03-26 00:00:00,FR04100,VILLEMOMBLE,15.1,62.8,9.7,5.2,282.15,74.31,5.92,99849.27,15.79,faible
2026-03-26 00:00:00,FR04101,CHAMPIGNY-SUR-MARNE,9.9,68.3,9.7,5.2,282.15,74.31,5.92,99849.27,14.95,faible
2026-03-26 00:00:00,FR04118,Place de l'Opéra,15.7,71.4,15.3,5.2,282.15,74.31,5.92,99849.27,17.95,faible
2026-03-26 00:00:00,FR04122,RN6-MELUN,12.2,71.4,14.2,6.9,282.15,74.31,5.92,99849.27,16.85,faible
2026-03-26 00:00:00,FR04131,Boulevard Haussmann,13.1,71.4,14.0,1.9,282.15,74.31,5.92,99849.27,16.76,faible
2026-03-26 00:00:00,FR04141,Quai des Celestins,14.1,71.4,9.7,5.2,282.15,74.31,5.92,99849.27,16.54,faible
2026-03-26 00:00:00,FR04142,Zone Rurale Nord-Est,7.5,67.9,9.7,5.2,282.15,74.31,5.92,99849.27,14.2,faible
2026-03-26 00:00:00,FR04149,MONTGERON,11.8,58.9,9.7,5.2,282.15,74.31,5.92,99849.27,14.36,faible
2026-03-26 00:00:00,FR04150,LA DEFENSE,8.1,71.4,9.7,4.2,282.15,74.31,5.92,99849.27,14.74,faible
2026-03-26 00:00:00,FR04156,BOBIGNY,12.3,71.4,8.7,4.9,282.15,74.31,5.92,99849.27,15.83,faible
2026-03-26 00:00:00,FR04158,Zone Rurale NO,7.5,73.9,8.5,5.2,282.15,74.31,5.92,99849.27,14.73,faible
2026-03-26 00:00:00,FR04173,RD934 Coulommiers,7.5,71.4,8.4,5.8,282.15,74.31,5.92,99849.27,14.45,faible
2026-03-26 00:00:00,FR04179,PARIS Stade Lenglen,10.7,71.4,9.2,5.2,282.15,74.31,5.92,99849.27,15.47,faible
2026-03-26 00:00:00,FR04180,RN20 - MONTLHERY,17.8,71.4,9.7,12.0,282.15,74.31,5.92,99849.27,18.05,faible
2026-03-26 00:00:00,FR04181,RAMBOUILLET,7.5,65.2,6.6,3.7,282.15,74.31,5.92,99849.27,13.26,faible
2026-03-26 00:00:00,FR04319,TREMBLAY-EN-FRANCE,11.1,60.2,6.2,5.2,282.15,74.31,5.92,99849.27,13.73,faible
2026-03-26 00:00:00,FR04323,EVRY,13.8,71.4,9.7,5.2,282.15,74.31,5.92,99849.27,16.46,faible
2026-03-26 00:00:00,FR04324,Zone Rurale Est,7.5,67.7,9.7,5.2,282.15,74.31,5.92,99849.27,14.18,faible
2026-03-26 00:00:00,FR04328,Zone Rurale SE,4.4,65.7,7.2,4.8,282.15,74.31,5.92,99849.27,12.59,faible
2026-03-26 00:00:00,FR04329,Bld peripherique Est,12.2,71.4,8.7,6.9,282.15,74.31,5.92,99849.27,15.93,faible
2026-03-26 00:00:00,FR05040,Honfleur Sce Tech.,7.5,85.3,14.7,5.2,282.15,74.31,5.92,99849.27,17.15,faible
2026-03-26 00:00:00,FR05074,Le Havre Ec. Herriot,1.0,82.6,12.9,5.6,282.15,74.31,5.92,99849.27,14.67,faible
2026-03-26 00:00:00,FR05080,Rogerville Mairie,7.5,82.9,9.7,5.2,282.15,74.31,5.92,99849.27,16.02,faible
2026-03-26 00:00:00,FR05082,Touques,7.5,87.3,9.7,5.2,282.15,74.31,5.92,99849.27,16.56,faible
2026-03-26 00:00:00,FR05083,Gonfreville l Orcher,2.4,71.4,10.1,4.7,282.15,74.31,5.92,99849.27,13.19,faible
2026-03-26 00:00:00,FR05084,NDGravenchon Pasteur,4.3,71.4,9.7,5.2,282.15,74.31,5.92,99849.27,13.7,faible
2026-03-26 00:00:00,FR05087,Maison Parc Brotonne,1.6,81.6,6.2,4.1,282.15,74.31,5.92,99849.27,13.5,faible
2026-03-26 00:00:00,FR05089,Le Havre Lafaurie-montant,0.3,71.4,18.7,8.1,282.15,74.31,5.92,99849.27,14.24,faible
2026-03-26 00:00:00,FR05090,Le Havre ville-haute,1.6,85.3,11.6,5.0,282.15,74.31,5.92,99849.27,14.91,faible
2026-03-26 00:00:00,FR06001,Valenciennes Acacias,7.5,71.4,4.5,5.2,282.15,74.31,5.92,99849.27,13.76,faible
2026-03-26 00:00:00,FR06003,Douai Theuriet,6.9,71.4,5.8,3.4,282.15,74.31,5.92,99849.27,13.69,faible
2026-03-26 00:00:00,FR06006,Valenciennes Wallon,8.6,71.4,3.1,2.4,282.15,74.31,5.92,99849.27,13.66,faible
2026-03-26 00:00:00,FR06011,Denain Villars,2.4,77.6,3.7,2.8,282.15,74.31,5.92,99849.27,12.74,faible
2026-03-26 00:00:00,FR06133,Cartignies,2.1,80.0,1.3,1.1,282.15,74.31,5.92,99849.27,12.44,faible
2026-03-26 00:00:00,FR07004,Montferrand,2.8,81.5,7.4,3.9,282.15,74.31,5.92,99849.27,14.02,faible
2026-03-26 00:00:00,FR07022,Paray le Fresil,1.9,78.5,4.0,2.4,282.15,74.31,5.92,99849.27,12.73,faible
