datetime,code_site,nom_site,NO2,O3,PM10,PM25
2026-03-26 00:00:00,FR09003,place de VERDUN,2.4,82.3,25.5,0.3
2026-03-26 00:00:00,FR09008,Aytré,5.9,80.0,11.3,
2026-03-26 00:00:00,FR09015,Les Couronneries,4.1,71.5,12.3,
2026-03-26 00:00:00,FR09103,Square Pablo Casals,3.9,71.4,7.1,4.2
2026-03-26 00:00:00,FR09106,ANGOULEME-GAMBETTA,2.8,,9.2,
2026-03-26 00:00:00,FR09203,La Pallice3 LR,,,13.3,8.9
2026-03-26 00:00:00,FR09302,Zoodyssée Chizé,1.8,56.9,8.9,4.8
2026-03-26 00:00:00,FR09303,Niort Venise,2.2,60.9,9.2,4.9
2026-03-26 00:00:00,FR09304,AIRVAULT - Stade Laillé,2.5,65.1,15.4,
2026-03-26 00:00:00,FR09305,Niort - Tassigny,4.0,,14.7,
2026-03-26 00:00:00,FR09403,Poitiers-Le Nain,6.0,,13.9,
2026-03-26 00:00:00,FR09404,Poitiers Centre  Augouard,4.1,70.1,11.7,5.7
2026-03-26 00:00:00,FR10004,Malo-les-Bains,,,12.0,5.7
2026-03-26 00:00:00,FR10017,St Pol mer - cheminots,11.9,65.9,24.6,10.3
2026-03-26 00:00:00,FR10025,Sangatte,,72.9,25.0,
2026-03-26 00:00:00,FR10029,Cappelle la Grande,,,29.5,
2026-03-26 00:00:00,FR10030,Boulogne Diderot,5.0,,13.7,6.2
2026-03-26 00:00:00,FR10032,Outreau,,72.7,15.9,
2026-03-26 00:00:00,FR10034,Grande-synthe,,,13.0,
2026-03-26 00:00:00,FR10132,Campagne les B.,6.2,70.1,12.1,
2026-03-26 00:00:00,FR11026,Halluin stade,7.5,55.0,,
2026-03-26 00:00:00,FR11034,Roubaix Serres,12.2,,50.9,46.1
2026-03-26 00:00:00,FR11038,Tourcoing Houpline,11.3,67.6,6.1,3.3
2026-03-26 00:00:00,FR11114,Wattignies,5.7,60.4,5.3,3.2
2026-03-26 00:00:00,FR12004,Toulouse école m. Jacquier,0.8,78.1,10.6,6.1
2026-03-26 00:00:00,FR12020,Peyrusse Vieille,0.8,73.1,13.2,6.8
2026-03-26 00:00:00,FR12021,Toulouse Mazades,,,11.6,5.6
2026-03-26 00:00:00,FR12026,Albi Delmas,2.6,,,5.8
2026-03-26 00:00:00,FR12029,Gaudonville,,74.5,,
2026-03-26 00:00:00,FR12030,Toulouse Berthelot,1.2,76.9,11.0,5.9
2026-03-26 00:00:00,FR12031,Belesta en Lauragais,,75.9,,
2026-03-26 00:00:00,FR12039,Toulouse-SETMI Eisenhower,,,13.6,
2026-03-26 00:00:00,FR12040,Toulouse SETMI Chapitre,,,14.8,
2026-03-26 00:00:00,FR12041,Montgiscard SICOVAL,,78.0,,
2026-03-26 00:00:00,FR12042,Lourdes Lapaca,2.0,82.8,6.4,4.2
2026-03-26 00:00:00,FR12044,Toulouse - Aéroport Blagnac côté trafic,1.0,,7.3,
2026-03-26 00:00:00,FR12047,Bessières-ECONOTRE,,,8.0,
2026-03-26 00:00:00,FR12052,Tarbes lycée Dupuy,1.5,82.6,6.6,4.2
2026-03-26 00:00:00,FR12053,Castres stadeTravet,1.4,76.6,10.6,6.0
2026-03-26 00:00:00,FR12054,Toulouse Rte Albi,1.6,,10.6,5.7
2026-03-26 00:00:00,FR12085,Toulouse Port de l'Embouchure,6.5,,11.6,4.7
2026-03-26 00:00:00,FR12095,Rodez Camonil,2.1,82.9,3.6,2.2
2026-03-26 00:00:00,FR14008,REVIN,2.0,75.0,1.8,1.4
2026-03-26 00:00:00,FR14010,BETHENY,5.7,64.4,13.5,
2026-03-26 00:00:00,FR14011,DOUMER,8.4,,9.7,1.2
2026-03-26 00:00:00,FR14012,Jean d Aulan,3.0,65.8,7.6,0.1
2026-03-26 00:00:00,FR14022,CHALONS,4.4,57.4,6.3,
2026-03-26 00:00:00,FR14028,Rempart Perrier,4.5,,8.6,2.4
2026-03-26 00:00:00,FR14031,Troyes La Tour ,7.7,,,
2026-03-26 00:00:00,FR14032,ST PARRES AUX TERTRE,,66.1,,
2026-03-26 00:00:00,FR14033,STE SAVINE,5.5,,4.6,4.4
2026-03-26 00:00:00,FR14042,St DIZIER L. Michel,6.6,60.1,,
2026-03-26 00:00:00,FR14051,CHARLEVILLE,4.0,66.4,5.9,
2026-03-26 00:00:00,FR15013,Champ sur Drac,,76.0,,
2026-03-26 00:00:00,FR15018,Voiron Urbain,2.5,79.9,4.7,
2026-03-26 00:00:00,FR15031,Le Casset2,,91.7,,
2026-03-26 00:00:00,FR15038,St Martin d'Heres,,63.4,2.8,1.6
2026-03-26 00:00:00,FR15043,Grenoble Les Frenes,2.8,63.9,3.1,2.0
2026-03-26 00:00:00,FR15045,Grenoble PeriurbSud,2.4,53.8,0.1,
2026-03-26 00:00:00,FR15046,Grenoble Boulevards,4.6,,5.6,
2026-03-26 00:00:00,FR15048,Gresivaudan Periurb,2.2,64.4,3.2,1.9
2026-03-26 00:00:00,FR15053,Rocade Sud Eybens,7.1,,2.7,-0.7
2026-03-26 00:00:00,FR16017,Nord-Est Alsace,3.3,71.7,,
2026-03-26 00:00:00,FR16029,Strasbourg Nord,2.9,67.3,1.8,1.6
2026-03-26 00:00:00,FR16031,Vosges du Nord,,71.2,,
2026-03-26 00:00:00,FR16034,Strasbourg Clemenceau,4.7,,3.0,
2026-03-26 00:00:00,FR16054,Colmar Centre,2.0,,1.3,-1.3
2026-03-26 00:00:00,FR16060,C.C.3 Frontières,1.3,,,
2026-03-26 00:00:00,FR16064,Colmar Sud,,73.4,,
2026-03-26 00:00:00,FR16065,Mulhouse Est,,63.8,,
2026-03-26 00:00:00,FR16066,Mulhouse Sud 2,5.0,65.4,3.2,2.4
2026-03-26 00:00:00,FR16069,Mulhouse-Briand,4.7,,-4.6,
2026-03-26 00:00:00,FR16215,Strasbourg A35 Remparts,6.5,,6.3,
2026-03-26 00:00:00,FR16302,Donon Vosges Moyennes 2,1.4,74.3,0.4,0.4
2026-03-26 00:00:00,FR18035,Salouel,2.3,71.2,,
2026-03-26 00:00:00,FR18039,Arrest,,83.0,7.8,4.1
2026-03-26 00:00:00,FR18042,P. Roth St Quentin,4.1,70.7,8.2,5.2
2026-03-26 00:00:00,FR18043,Faiencerie Creil,6.0,64.7,6.2,3.5
2026-03-26 00:00:00,FR18053,St Pierre Amiens,6.3,,7.8,4.1
2026-03-26 00:00:00,FR18057,Neuilly-Saint-Front,2.7,66.8,5.9,3.5
2026-03-26 00:00:00,FR18058,Gaudechart,2.7,59.9,8.6,5.4
2026-03-26 00:00:00,FR18079,TRAFIC AMIENS,,,,2.4
2026-03-26 00:00:00,FR18080,TRAF Saint Quent 14,,,8.4,4.8
2026-03-26 00:00:00,FR18089,Trafic Beauvais 1,6.9,,8.8,4.1
2026-03-26 00:00:00,FR19002,Rennes Laennec,12.0,,8.7,4.8
2026-03-26 00:00:00,FR19007,Rennes Les Halles,9.8,,,
2026-03-26 00:00:00,FR19012,Brest Mace,6.6,80.7,14.3,7.0
2026-03-26 00:00:00,FR19014,Brest Desmoulins,3.0,,21.4,13.4
2026-03-26 00:00:00,FR19016,BREST Plouzané,,77.2,,
2026-03-26 00:00:00,FR19018,MORDELLES BELLAIS,,65.7,,
2026-03-26 00:00:00,FR19020,Kergoff,0.8,72.7,7.5,4.4
2026-03-26 00:00:00,FR19032,Lorient B. Bissonnet,3.3,65.9,7.0,4.5
2026-03-26 00:00:00,FR19033,Vannes UTA,3.4,70.0,7.3,4.3
2026-03-26 00:00:00,FR19037,Lorient Normandie,3.5,,7.6,4.6
2026-03-26 00:00:00,FR19039,Rennes Thabor,4.8,66.9,9.9,5.4
2026-03-26 00:00:00,FR19053,Quimper Zola,1.2,75.6,12.6,5.5
2026-03-26 00:00:00,FR19082,StMalo Rocabey,1.6,82.7,20.0,6.9
2026-03-26 00:00:00,FR20013,A7 SUD LYONNAIS,4.4,,20.0,2.0
2026-03-26 00:00:00,FR20017,GERLAND,4.6,,6.5,3.2
2026-03-26 00:00:00,FR20029,FEYZIN STADE,,,3.0,
2026-03-26 00:00:00,FR20037,TERNAY,0.7,80.3,,
2026-03-26 00:00:00,FR20046,VAULX EN VELIN,1.6,74.2,,0.8
2026-03-26 00:00:00,FR20047,COTIERE AIN,2.3,68.6,6.3,
2026-03-26 00:00:00,FR20048,SAINT EXUPERY,3.7,66.3,6.1,3.3
2026-03-26 00:00:00,FR20049,HAUT BEAUJOLAIS,,78.1,,
2026-03-26 00:00:00,FR20062,LYON Centre,5.4,64.5,5.7,3.2
2026-03-26 00:00:00,FR20069,Lyon Périphérique,14.7,,8.3,
2026-03-26 00:00:00,FR20070,LYON TRAFIC JAURES,3.9,,9.9,
2026-03-26 00:00:00,FR20077,Villefranche Centre ,2.8,69.4,5.6,2.9
2026-03-26 00:00:00,FR21001,Caen Chemin-Vert,5.5,80.7,9.1,4.2
2026-03-26 00:00:00,FR21019,IFS Caen sud,5.6,80.0,11.7,
2026-03-26 00:00:00,FR21031,Alençon Météo-France,6.3,76.0,7.2,4.0
2026-03-26 00:00:00,FR21038,Cherbourg Hotel de Ville,3.7,79.4,12.9,5.8
2026-03-26 00:00:00,FR21039,Cherbourg PMF,1.5,,,4.4
2026-03-26 00:00:00,FR21040,Saint-Lô Eglise,2.4,73.8,12.4,
2026-03-26 00:00:00,FR21041,Ouistreham Baie de l Orne,,85.7,,
2026-03-26 00:00:00,FR21050,La Coulonche MERA,,79.2,7.4,3.9
2026-03-26 00:00:00,FR22009,Ecole de Carling(9),6.5,,6.8,
2026-03-26 00:00:00,FR22054,Station de FORBACH,6.5,61.1,3.8,1.5
2026-03-26 00:00:00,FR23003,LA MEGRETAIS,2.1,,9.4,5.3
2026-03-26 00:00:00,FR23068,FROSSAY,6.0,,9.6,5.5
2026-03-26 00:00:00,FR23070,S ETIENNE DE MONTLUC,2.9,,9.8,5.5
2026-03-26 00:00:00,FR23075,JULES VERNE,3.4,,,
2026-03-26 00:00:00,FR23078,SAINT EXUPERY,5.5,66.9,9.6,10.1
2026-03-26 00:00:00,FR23110,LEON BLUM,5.9,74.3,9.9,5.5
2026-03-26 00:00:00,FR23120,BEAUX ARTS,4.7,,8.0,4.7
2026-03-26 00:00:00,FR23123,MAZAGRAN,1.6,76.8,7.0,3.8
2026-03-26 00:00:00,FR23124,LA TARDIERE,3.2,57.9,9.8,6.1
2026-03-26 00:00:00,FR23150,APPENTIS,2.9,71.9,,
2026-03-26 00:00:00,FR23152,DELACROIX,3.2,73.5,10.1,5.4
2026-03-26 00:00:00,FR23157,EPINETTES,,71.0,,
2026-03-26 00:00:00,FR23163,Fillé,,63.3,,
2026-03-26 00:00:00,FR23174,GUEDOU,8.2,,,
2026-03-26 00:00:00,FR23175,CLOS DES BEAUVAIS,,64.5,,
2026-03-26 00:00:00,FR23177,SAINT-DENIS D'ANJOU,4.8,58.1,8.0,4.4
2026-03-26 00:00:00,FR23178,PARSCAU DU PLESSIS,3.1,,9.4,5.5
2026-03-26 00:00:00,FR23181,PARC PAYSAGER,3.4,,,
2026-03-26 00:00:00,FR23182,SOURCES,7.1,61.4,11.3,6.1
2026-03-26 00:00:00,FR23188,CIM BOUTEILLERIE,4.8,75.5,10.8,5.7
2026-03-26 00:00:00,FR23230,GASPARD,,78.7,,
2026-03-26 00:00:00,FR23238,LEVOYER,,,11.8,5.2
2026-03-26 00:00:00,FR23239,LA CHABOSSIERE,3.2,,10.4,5.8
2026-03-26 00:00:00,FR23242,BD DU ROI RENE,7.2,,11.3,3.2
2026-03-26 00:00:00,FR23249,LA CAME,2.3,,9.0,5.1
2026-03-26 00:00:00,FR23251,FRERES GONCOURT,4.2,,16.7,
2026-03-26 00:00:00,FR23252,LA PAIX,3.8,,,8.0
2026-03-26 00:00:00,FR24007,ANTIBES JEAN MOULIN,2.0,87.4,,
2026-03-26 00:00:00,FR24009,CANNES BROUSSAILLES,0.9,89.6,5.0,1.0
2026-03-26 00:00:00,FR24011,NICE OUEST BOTANIQUE,,91.4,,
2026-03-26 00:00:00,FR24014,CIANS,,93.9,,
2026-03-26 00:00:00,FR24021,PEILLON,,,5.0,1.1
2026-03-26 00:00:00,FR24033,GAP COMMANDERIE,1.4,89.8,5.5,1.1
2026-03-26 00:00:00,FR24035,NICE PROMENADE,4.5,,11.4,5.6
2026-03-26 00:00:00,FR24036,NICE ARSON,2.2,91.8,13.4,2.1
2026-03-26 00:00:00,FR24038,GAP JEAN JAURES,1.6,,14.4,4.3
2026-03-26 00:00:00,FR24039,Obs Haute-Provence,,89.7,3.9,2.0
2026-03-26 00:00:00,FR24040,Cheiron,,93.4,,
2026-03-26 00:00:00,FR25035,Gd Couronne Mairie,,,7.7,
2026-03-26 00:00:00,FR25036,Espace du Palais,6.9,92.3,8.9,4.4
2026-03-26 00:00:00,FR25039,Evreux Centre,1.7,77.7,3.6,2.2
2026-03-26 00:00:00,FR25040,Mesnil Esnard,,83.3,,
2026-03-26 00:00:00,FR25043,Centre Hospitalier,6.6,80.8,8.4,4.3
2026-03-26 00:00:00,FR25048,Petit Quevilly,4.4,,9.2,4.2
2026-03-26 00:00:00,FR25049,Base loisirs Poses,,79.7,6.8,3.8
2026-03-26 00:00:00,FR25050,Bures-en-bray,,75.9,,
2026-03-26 00:00:00,FR25051,Dieppe prox-auto,5.2,,18.5,9.0
2026-03-26 00:00:00,FR25053,Rouen Proxi Quai de Paris,8.7,,14.3,1.5
2026-03-26 00:00:00,FR25054,Petit-Quevilly Sud 3,14.0,,10.3,
2026-03-26 00:00:00,FR25055,Dieppe Golf,,85.4,18.3,7.3
2026-03-26 00:00:00,FR26005,Dijon Péjoces,4.8,82.9,4.4,3.5
2026-03-26 00:00:00,FR26012,Morvan,1.4,81.5,6.3,2.0
2026-03-26 00:00:00,FR26014,Dijon Trémouille,4.9,,3.4,
2026-03-26 00:00:00,FR26016,Sens,7.5,72.7,5.2,
2026-03-26 00:00:00,FR26017,Nevers,2.9,74.8,4.3,2.6
2026-03-26 00:00:00,FR26019,Auxerre,,84.0,4.6,2.8
2026-03-26 00:00:00,FR26094,Dijon Ardennes,5.3,,6.1,8.4
2026-03-26 00:00:00,FR27003,ROCHES DE CONDRIEU,1.7,79.7,,
2026-03-26 00:00:00,FR27005,Sablons,1.0,82.6,,
2026-03-26 00:00:00,FR27007,Bourgoin-Jallieu,4.2,61.6,6.0,3.4
2026-03-26 00:00:00,FR27010,Plateau de Bonnevaux,2.5,71.6,,
2026-03-26 00:00:00,FR27011,A7 Salaise Ouest,5.1,,4.9,2.8
2026-03-26 00:00:00,FR28010,Harnes Serres,4.5,66.0,,
2026-03-26 00:00:00,FR28022,St-Laurent-Blangy,6.5,73.3,8.5,1.8
2026-03-26 00:00:00,FR28028,Bethune Stade,6.9,67.7,8.9,5.0
2026-03-26 00:00:00,FR28033,Noeux-les-Mines,,,18.7,
2026-03-26 00:00:00,FR29424,SAINT ETIENNE SUD,4.3,71.9,7.3,3.6
2026-03-26 00:00:00,FR29426,SAINT-CHAMOND,,87.0,,4.1
2026-03-26 00:00:00,FR29439,LA TALAUDIERE,1.7,84.3,6.2,3.4
2026-03-26 00:00:00,FR29441,ST ETIENNE BD URBAIN ,1.5,,7.1,
2026-03-26 00:00:00,FR30019,Epinal,3.5,56.5,5.3,3.9
2026-03-26 00:00:00,FR30021,Fléville,,,8.5,
2026-03-26 00:00:00,FR30026,Luneville,7.1,,,7.7
2026-03-26 00:00:00,FR30027,Frolois,,,5.7,
2026-03-26 00:00:00,FR30028,Schlucht,2.7,,,
2026-03-26 00:00:00,FR30030,Neuves-Maisons,,,4.0,
2026-03-26 00:00:00,FR30032,Heming,2.0,,5.3,
