datetime,code_site,nom_site,latitude_pollution,longitude_pollution,station_meteo,distance_km,NO2,O3,PM10,PM25,temperature,humidity,wind_speed,pressure
2026-03-26 00:00:00,FR04150,LA DEFENSE,48.891388,2.240556,PARIS-MONTSOURIS,10.52,8.1,,,4.2,278.35,70.0,3.3,100770.0
2026-03-26 00:00:00,FR04156,BOBIGNY,48.902504,2.4525,LE BOURGET,7.43,12.3,,8.7,4.9,277.15,80.0,3.1,101110.0
2026-03-26 00:00:00,FR04158,Zone Rurale NO,49.063087,1.866381,PONTOISE - AERO,12.14,,73.9,8.5,,275.65,89.0,3.6,100620.0
2026-03-26 00:00:00,FR04173,RD934 Coulommiers,48.8059,3.084158,MELUN,36.8,,,8.4,5.8,276.35,85.0,4.3,100590.0
2026-03-26 00:00:00,FR04179,PARIS Stade Lenglen,48.830387,2.269889,PARIS-MONTSOURIS,5.07,10.7,,9.2,,278.35,70.0,3.3,100770.0
2026-03-26 00:00:00,FR04180,RN20 - MONTLHERY,48.64093,2.26872,ORLY,12.73,17.8,,,12.0,276.15,83.0,2.7,100640.0
2026-03-26 00:00:00,FR04181,RAMBOUILLET,48.63373,1.830529,TRAPPES,20.43,,65.2,6.6,3.7,275.65,86.0,1.9,99650.0
2026-03-26 00:00:00,FR04319,TREMBLAY-EN-FRANCE,48.95555,2.575278,ROISSY,7.27,11.1,60.2,6.2,,276.55,82.0,4.3,100310.0
2026-03-26 00:00:00,FR04323,EVRY,48.62722,2.429167,ORLY,10.37,13.8,,,,276.15,83.0,2.7,100640.0
2026-03-26 00:00:00,FR04324,Zone Rurale Est,48.761665,3.058333,MELUN,32.5,,67.7,,,276.35,85.0,4.3,100590.0
2026-03-26 00:00:00,FR04328,Zone Rurale SE,48.3547,2.6453,MELUN,28.54,4.4,65.7,7.2,4.8,276.35,85.0,4.3,100590.0
2026-03-26 00:00:00,FR04329,Bld peripherique Est,48.838615,2.412781,PARIS-MONTSOURIS,5.8,12.2,,8.7,6.9,278.35,70.0,3.3,100770.0
2026-03-26 00:00:00,FR05040,Honfleur Sce Tech.,49.415108,0.2437,ST GATIEN DES B,7.9,,85.3,14.7,,279.35,55.0,6.8,100210.0
2026-03-26 00:00:00,FR05074,Le Havre Ec. Herriot,49.48963,0.100703,OCTEVILLE,4.87,1.0,82.6,12.9,5.6,279.85,60.0,11.6,100820.0
2026-03-26 00:00:00,FR05080,Rogerville Mairie,49.50362,0.266872,OCTEVILLE,13.06,,82.9,,,279.85,60.0,11.6,100820.0
2026-03-26 00:00:00,FR05082,Touques,49.348,0.109253,ST GATIEN DES B,4.57,,87.3,,,279.35,55.0,6.8,100210.0
2026-03-26 00:00:00,FR05083,Gonfreville l Orcher,49.50273,0.232486,OCTEVILLE,10.71,2.4,,10.1,4.7,279.85,60.0,11.6,100820.0
2026-03-26 00:00:00,FR05084,NDGravenchon Pasteur,49.493332,0.571853,ST GATIEN DES B,32.6,4.3,,,,279.35,55.0,6.8,100210.0
2026-03-26 00:00:00,FR05087,Maison Parc Brotonne,49.498417,0.758697,ROUEN-BOOS,32.67,1.6,81.6,6.2,4.1,277.75,68.0,6.1,99860.0
2026-03-26 00:00:00,FR05089,Le Havre Lafaurie-montant,49.500187,0.110903,OCTEVILLE,3.9,0.3,,18.7,8.1,279.85,60.0,11.6,100820.0
2026-03-26 00:00:00,FR05090,Le Havre ville-haute,49.514687,0.100645,OCTEVILLE,2.14,1.6,85.3,11.6,5.0,279.85,60.0,11.6,100820.0
2026-03-26 00:00:00,FR06001,Valenciennes Acacias,50.35853,3.50804,LILLE-LESQUIN,37.38,,,4.5,,277.05,89.0,3.9,100900.0
2026-03-26 00:00:00,FR06003,Douai Theuriet,50.37822,3.06586,LILLE-LESQUIN,21.44,6.9,,5.8,3.4,277.05,89.0,3.9,100900.0
2026-03-26 00:00:00,FR06006,Valenciennes Wallon,50.36425,3.52273,LILLE-LESQUIN,37.81,8.6,,3.1,2.4,277.05,89.0,3.9,100900.0
2026-03-26 00:00:00,FR06011,Denain Villars,50.32276,3.39593,LILLE-LESQUIN,34.67,2.4,77.6,3.7,2.8,277.05,89.0,3.9,100900.0
2026-03-26 00:00:00,FR06133,Cartignies,50.09225,3.85003,ST QUENTIN,55.23,2.1,80.0,1.3,1.1,275.75,87.0,4.2,100330.0
2026-03-26 00:00:00,FR07004,Montferrand,45.79728,3.113833,CLERMONT-FD,2.99,2.8,81.5,7.4,3.9,276.95,70.0,6.4,97870.0
2026-03-26 00:00:00,FR07022,Paray le Fresil,46.652668,3.600667,ST YAN,41.83,1.9,78.5,4.0,2.4,276.45,77.0,5.6,98810.0
2026-03-26 00:00:00,FR07031,Rageade,45.10472,3.277361,LE PUY-LOUDES,38.35,,86.9,8.2,2.9,272.25,86.0,9.2,91860.0
2026-03-26 00:00:00,FR07051,Beaulieu,45.769,3.155,CLERMONT-FD,2.03,1.7,,8.7,4.2,276.95,70.0,6.4,97870.0
2026-03-26 00:00:00,FR07052,Aurillac-Lagarde,44.92008,2.441082,AURILLAC,3.62,2.6,86.3,7.2,3.5,275.05,77.0,5.2,94450.0
2026-03-26 00:00:00,FR07053,Edouard Michelin,45.780434,3.111592,CLERMONT-FD,3.01,2.2,,,,276.95,70.0,6.4,97870.0
2026-03-26 00:00:00,FR07054,Le Puy-Causans,45.039,3.887001,LE PUY-LOUDES,10.44,2.0,79.5,2.7,,272.25,86.0,9.2,91860.0
2026-03-26 00:00:00,FR07056,Pays du Mezenc,44.98377,4.226006,LE PUY-LOUDES,37.68,,81.1,,,272.25,86.0,9.2,91860.0
2026-03-26 00:00:00,FR07057,Moulins Centre,46.561974,3.3406389,VICHY-CHARMEIL,44.18,1.8,75.6,4.5,2.5,275.65,87.0,4.0,98830.0
2026-03-26 00:00:00,FR07058,Montluçon,46.34072,2.593945,GUERET-ST LAURENT,52.78,2.1,75.8,8.7,4.6,275.65,72.0,2.3,97630.0
2026-03-26 00:00:00,FR07059,Vichy,46.130432,3.425694,VICHY-CHARMEIL,4.54,2.0,76.1,4.9,2.8,275.65,87.0,4.0,98830.0
2026-03-26 00:00:00,FR07060,Royat Périurbaine,45.76411,3.046111,CLERMONT-FD,8.39,1.8,87.3,,,276.95,70.0,6.4,97870.0
2026-03-26 00:00:00,FR07061,Riom Périurbaine,45.89674,3.122254,CLERMONT-FD,12.4,1.9,80.3,7.9,,276.95,70.0,6.4,97870.0
2026-03-26 00:00:00,FR08022,Agathois-piscénois,43.2875,3.50484,BEZIERS-VIAS,12.9,2.8,81.3,,,282.55,59.0,9.8,101550.0
2026-03-26 00:00:00,FR08023,Biterrois-Narbonnais,43.4068,3.18878,BEZIERS-VIAS,16.26,,74.7,,,282.55,59.0,9.8,101550.0
2026-03-26 00:00:00,FR08712,Perpignan St Esteve,42.7198,2.83988,PERPIGNAN,3.31,,90.0,,,282.85,50.0,13.5,101250.0
2026-03-26 00:00:00,FR08714,Perpignan Les Carmes,42.6955,2.90053,PERPIGNAN,5.16,2.3,84.6,10.5,5.2,282.85,50.0,13.5,101250.0
2026-03-26 00:00:00,FR09003,place de VERDUN,46.162647,-1.153684,LA ROCHELLE-ILE DE RE,3.49,2.4,82.3,25.5,0.3,280.95,63.0,8.0,102200.0
2026-03-26 00:00:00,FR09008,Aytré,46.135136,-1.117086,LA ROCHELLE-ILE DE RE,7.55,5.9,80.0,11.3,,280.95,63.0,8.0,102200.0
2026-03-26 00:00:00,FR09015,Les Couronneries,46.58696,0.358458,POITIERS-BIARD,3.46,4.1,71.5,12.3,,277.15,73.0,4.1,100750.0
2026-03-26 00:00:00,FR09103,Square Pablo Casals,45.647427,0.167162,COGNAC,37.59,3.9,71.4,7.1,4.2,279.65,61.0,4.7,102010.0
